X,Y,Name,Category,Reviews,Rating,Address,Lat,Lon,Neighborhood
-71.0372238,42.3451843,Pete's Dockside,restaurants,39,4.5,12 Channel St,42.3451843,-71.0372238,Seaport
-71.035987943400002,42.3479215837,Yankee Lobster Co,restaurants,838,4,300 Northern Ave,42.3479215837,-71.0359879434,Seaport
-71.047323276699998,42.349633716200003,Row 34,restaurants,526,4.5,383 Congress St,42.3496337162,-71.0473232767,Seaport
-71.050995960799995,42.346178144200003,Internal Matter,restaurants,29,4.5,"35 Channel Center St', Ste 100",42.3461781442,-71.0509959608,Seaport
-71.047723442299997,42.350161812300001,sweetgreen,restaurants,94,4.5,372 Congress St,42.3501618123,-71.0477234423,Seaport
-71.048812866199995,42.351367950399997,Flour Bakery + Café,restaurants,740,4.5,12 Farnsworth St,42.3513679504,-71.0488128662,Seaport
-71.0378647,42.3485739,Legal Harborside,restaurants,768,3.5,270 Northern Ave,42.3485739,-71.0378647,Seaport
-71.0484619,42.3506699,Drink,restaurants,1200,4,348 Congress St,42.3506699,-71.0484619,Seaport
-71.038876399399996,42.3487845808,Legal Test Kitchen,restaurants,541,3.5,225 Northern Ave,42.3487845808,-71.0388763994,Seaport
-71.048598736499997,42.3505159467,Sportello,restaurants,613,4,348 Congress St,42.3505159467,-71.0485987365,Seaport
-71.048374772100004,42.353305444100002,Outlook Kitchen And Bar,restaurants,40,4,70 Sleeper St,42.3533054441,-71.0483747721,Seaport
-71.0483829,42.3504581,Menton,restaurants,309,4.5,354 Congress St,42.3504581,-71.0483829,Seaport
-71.0440584272,42.351124808199998,Ocean Prime,restaurants,64,4,140 Seaport Blvd,42.3511248082,-71.0440584272,Seaport
-71.0452809,42.3523779,Gather,restaurants,197,3.5,75 Northern Ave,42.3523779,-71.0452809,Seaport
-71.049653,42.349348,Blue Dragon,restaurants,344,3.5,324 A St,42.349348,-71.049653,Seaport
